File Number	Name	Contents	Permitted
00	adj.all	all adjective clusters	Y
01	adj.pert	relational adjectives (pertainyms)	N
02	adv.all	all adverbs	N
03	noun.Tops	unique beginner for nouns	Y
04	noun.act	nouns denoting acts or actions	N
05	noun.animal	nouns denoting animals	Y
06	noun.artifact	nouns denoting man-made objects	Y
07	noun.attribute	nouns denoting attributes of people and objects	N
08	noun.body	nouns denoting body parts	Y
09	noun.cognition	nouns denoting cognitive processes and contents	N
10	noun.communication	nouns denoting communicative processes and contents	Y
11	noun.event	nouns denoting natural events	Y
12	noun.feeling	nouns denoting feelings and emotions	N
13	noun.food	nouns denoting foods and drinks	Y
14	noun.group	nouns denoting groupings of people or objects	Y
15	noun.location	nouns denoting spatial position	Y
16	noun.motive	nouns denoting goals	N
17	noun.object	nouns denoting natural objects (not man-made)	Y
18	noun.person	nouns denoting people	N
19	noun.phenomenon	nouns denoting natural phenomena	Y
20	noun.plant	nouns denoting plants	Y
21	noun.possession	nouns denoting possession and transfer of possession	Y
22	noun.process	nouns denoting natural processes	Y
23	noun.quantity	nouns denoting quantities and units of measure	Y
24	noun.relation	nouns denoting relations between people or things or ideas	Y
25	noun.shape	nouns denoting two and three dimensional shapes	Y
26	noun.state	nouns denoting stable states of affairs	Y
27	noun.substance	nouns denoting substances	Y
28	noun.time	nouns denoting time and temporal relations	N
29	verb.body	verbs of grooming, dressing and bodily care	N
30	verb.change	verbs of size, temperature change, intensifying, etc.	N
31	verb.cognition	verbs of thinking, judging, analyzing, doubting	N
32	verb.communication	verbs of telling, asking, ordering, singing	N
33	verb.competition	verbs of fighting, athletic activities	N
34	verb.consumption	verbs of eating and drinking	N
35	verb.contact	verbs of touching, hitting, tying, digging	N
36	verb.creation	verbs of sewing, baking, painting, performing	N
37	verb.emotion	verbs of feeling	N
38	verb.motion	verbs of walking, flying, swimming	N
39	verb.perception	verbs of seeing, hearing, feeling	N
40	verb.possession	verbs of buying, selling, owning	N
41	verb.social	verbs of political and social activities and events	N
42	verb.stative	verbs of being, having, spatial relations	N
43	verb.weather	verbs of raining, snowing, thawing, thundering	N
44	adj.ppl	participial adjectives	N